Series Name;Series Code;Country Name;Country Code;1990 [YR1990];2000 [YR2000];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017]
Literacy rate, adult total (% of people ages 15 and above);SE.ADT.LITR.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Compulsory education, duration (years);SE.COM.DURS;United States;USA;..;13;13;13;13;13;13;13;13;13;13;13
School enrollment, primary (gross), gender parity index (GPI);SE.ENR.PRIM.FM.ZS;United States;USA;0,994499981;0,982900023;1,002460003;1,004969954;0,991150022;1,005959988;0,986670017;0,993550003;0,998340011;1,002390027;..;..
School enrollment, primary and secondary (gross), gender parity index (GPI);SE.ENR.PRSC.FM.ZS;United States;USA;0,998070002;0,995580018;0,999710023;1,010059953;1,001379967;1,005689979;0,99555999;0,997049987;1,004179955;1,00635004;..;..
School enrollment, secondary (gross), gender parity index (GPI);SE.ENR.SECO.FM.ZS;United States;USA;1,001649976;1,009699941;0,99673003;1,014950037;1,011590004;1,005259991;1,004559994;1,00059998;1,010130048;1,010400057;..;..
School enrollment, tertiary (gross), gender parity index (GPI);SE.ENR.TERT.FM.ZS;United States;USA;1,271520019;..;..;..;..;..;..;..;..;..;..;..
Preprimary education, duration (years);SE.PRE.DURS;United States;USA;3;3;3;3;3;3;3;3;3;3;3;..
Pupil-teacher ratio, preprimary;SE.PRE.ENRL.TC.ZS;United States;USA;..;..;..;..;15,72929955;14,30356979;13,32726002;13,73962975;13,81997013;13,75664043;..;..
School enrollment, preprimary (% gross);SE.PRE.ENRR;United States;USA;60,85963058;..;..;..;68,36997986;69,1883316;69,87670898;69,63285828;69,91722107;69,49150085;..;..
School enrollment, preprimary, female (% gross);SE.PRE.ENRR.FE;United States;USA;59,8408699;..;..;..;69,1367569;69,44129944;68,91156006;69,64761353;70,20542145;68,89102936;..;..
School enrollment, preprimary, male (% gross);SE.PRE.ENRR.MA;United States;USA;61,83385086;..;..;..;67,63697815;68,94657135;70,79931641;69,61875153;69,64169312;70,06561279;..;..
Trained teachers in preprimary education, female (% of female teachers);SE.PRE.TCAQ.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in preprimary education, male (% of male teachers);SE.PRE.TCAQ.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Trained teachers in preprimary education (% of total teachers);SE.PRE.TCAQ.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Primary school starting age (years);SE.PRM.AGES;United States;USA;6;6;6;6;6;6;6;6;6;6;6;6
Primary completion rate, female (% of relevant age group);SE.PRM.CMPT.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Primary completion rate, male (% of relevant age group);SE.PRM.CMPT.MA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Primary completion rate, total (% of relevant age group);SE.PRM.CMPT.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Primary education, duration (years);SE.PRM.DURS;United States;USA;6;6;6;6;6;6;6;6;6;6;6;6
Primary education, pupils;SE.PRM.ENRL;United States;USA;22279000;24973176;24676574;24586434;24393002;24431662;24381923;24417652,73;24538371;24785697,04;..;..
